pgmigrate_success 270362
pgmigrate_fail 7293
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 0
pgmigrate_fail_numa_isolate_fail 5
pgmigrate_fail_nomem_fail 65
pgmigrate_fail_refcount_fail 23
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       554583660 kB
MemFree:        533648608 kB
MemAvailable:   532713840 kB
Buffers:           75568 kB
Cached:           445044 kB
SwapCached:            0 kB
Active:           194248 kB
Inactive:         957812 kB
Active(anon):      80684 kB
Inactive(anon):   556908 kB
Active(file):     113564 kB
Inactive(file):   400904 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                28 kB
Writeback:             0 kB
AnonPages:        631776 kB
Mapped:           389196 kB
Shmem:              6208 kB
KReclaimable:     197680 kB
Slab:             618092 kB
SReclaimable:     197680 kB
SUnreclaim:       420412 kB
KernelStack:       32416 kB
PageTables:        31948 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279388976 kB
Committed_AS:    6670412 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      137460 kB
VmallocChunk:          0 kB
Percpu:           146944 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      601576 kB
DirectMap2M:     9320448 kB
DirectMap1G:    1181745152 kB
