pgmigrate_success 3693413
pgmigrate_fail 2337
thp_migration_success 256
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 425510
thp_fault_fallback 9
thp_fault_fallback_charge 0
thp_collapse_alloc 39
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 76
thp_split_pmd 81
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 65536
htmm_nr_demoted 65682
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 68040593
htmm_alloc_nvm 182118490
MemTotal:       1184200784 kB
MemFree:        1164152648 kB
MemAvailable:   1161771048 kB
Buffers:           75192 kB
Cached:           461612 kB
SwapCached:            0 kB
Active:           333484 kB
Inactive:        1385368 kB
Active(anon):       7464 kB
Inactive(anon):  1180796 kB
Active(file):     326020 kB
Inactive(file):   204572 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               172 kB
Writeback:             0 kB
AnonPages:       1178344 kB
Mapped:           345640 kB
Shmem:              6212 kB
KReclaimable:     248252 kB
Slab:             677568 kB
SReclaimable:     248252 kB
SUnreclaim:       429316 kB
KernelStack:       34368 kB
PageTables:        44428 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100392 kB
Committed_AS:    9533224 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      198888 kB
VmallocChunk:          0 kB
Percpu:           129024 kB
HardwareCorrupted:     0 kB
AnonHugePages:     59392 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      646632 kB
DirectMap2M:     8226816 kB
DirectMap1G:    1180696576 kB
