pgmigrate_success 2274
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 0
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 3537010
htmm_alloc_nvm 0
MemTotal:       1184205836 kB
MemFree:        1163817164 kB
MemAvailable:   1161842440 kB
Buffers:          175676 kB
Cached:          1051424 kB
SwapCached:            0 kB
Active:           370892 kB
Inactive:        1511884 kB
Active(anon):       2884 kB
Inactive(anon):   658908 kB
Active(file):     368008 kB
Inactive(file):   852976 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               408 kB
Writeback:             0 kB
AnonPages:        655904 kB
Mapped:           382828 kB
Shmem:              6132 kB
KReclaimable:     371436 kB
Slab:             781816 kB
SReclaimable:     371436 kB
SUnreclaim:       410380 kB
KernelStack:       31840 kB
PageTables:        32980 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6440556 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200004 kB
VmallocChunk:          0 kB
Percpu:           126336 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      798184 kB
DirectMap2M:     8075264 kB
DirectMap1G:    1180696576 kB
