pgmigrate_success 6874432
pgmigrate_fail 46
thp_migration_success 13392
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 78858
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 43
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 22
thp_split_pmd 126
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 2545664
htmm_nr_demoted 4314922
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 83191167
htmm_alloc_nvm 232448
MemTotal:       1184205836 kB
MemFree:        1164914792 kB
MemAvailable:   1162419192 kB
Buffers:           10272 kB
Cached:           363908 kB
SwapCached:            0 kB
Active:            98884 kB
Inactive:         916428 kB
Active(anon):        408 kB
Inactive(anon):   646904 kB
Active(file):      98476 kB
Inactive(file):   269524 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               104 kB
Writeback:             0 kB
AnonPages:        638596 kB
Mapped:           351464 kB
Shmem:              6108 kB
KReclaimable:     182864 kB
Slab:             567196 kB
SReclaimable:     182864 kB
SUnreclaim:       384332 kB
KernelStack:       28448 kB
PageTables:        31084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592102916 kB
Committed_AS:    5728860 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196436 kB
VmallocChunk:          0 kB
Percpu:           125440 kB
HardwareCorrupted:     0 kB
AnonHugePages:     51200 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      808424 kB
DirectMap2M:     8065024 kB
DirectMap1G:    1180696576 kB
