pgmigrate_success 64229981
pgmigrate_fail 1189
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 22
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 13
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 8
thp_split_pmd 22
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 12013154
htmm_nr_demoted 48587932
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 84118292
htmm_alloc_nvm 13750603
MemTotal:       1184205836 kB
MemFree:        1163931616 kB
MemAvailable:   1161597272 kB
Buffers:           19360 kB
Cached:           363468 kB
SwapCached:            0 kB
Active:            36548 kB
Inactive:        1617748 kB
Active(anon):        460 kB
Inactive(anon):  1276900 kB
Active(file):      36088 kB
Inactive(file):   340848 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:       1264988 kB
Mapped:           304196 kB
Shmem:              6132 kB
KReclaimable:     496440 kB
Slab:             912992 kB
SReclaimable:     496440 kB
SUnreclaim:       416552 kB
KernelStack:       32624 kB
PageTables:        43720 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592102916 kB
Committed_AS:    6771292 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200704 kB
VmallocChunk:          0 kB
Percpu:           126336 kB
HardwareCorrupted:     0 kB
AnonHugePages:     47104 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      695784 kB
DirectMap2M:     8177664 kB
DirectMap1G:    1180696576 kB
