pgmigrate_success 114
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 1
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1132588516 kB
MemFree:        1113817880 kB
MemAvailable:   1111739672 kB
Buffers:            3180 kB
Cached:           369588 kB
SwapCached:            0 kB
Active:            82324 kB
Inactive:         993484 kB
Active(anon):        436 kB
Inactive(anon):   708784 kB
Active(file):      81888 kB
Inactive(file):   284700 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                68 kB
Writeback:             0 kB
AnonPages:        703472 kB
Mapped:           364964 kB
Shmem:              6108 kB
KReclaimable:     404732 kB
Slab:             689856 kB
SReclaimable:     404732 kB
SUnreclaim:       285124 kB
KernelStack:       31248 kB
PageTables:        44480 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    566294256 kB
Committed_AS:    6378408 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      195092 kB
VmallocChunk:          0 kB
Percpu:           131712 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      634344 kB
DirectMap2M:     9287680 kB
DirectMap1G:    1127219200 kB
