pgmigrate_success 356478
pgmigrate_fail 8712
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 2
pgmigrate_fail_numa_isolate_fail 7
pgmigrate_fail_nomem_fail 67
pgmigrate_fail_refcount_fail 23
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       554583660 kB
MemFree:        533566440 kB
MemAvailable:   532633096 kB
Buffers:           76700 kB
Cached:           446028 kB
SwapCached:            0 kB
Active:           187060 kB
Inactive:        1035096 kB
Active(anon):     103412 kB
Inactive(anon):   602176 kB
Active(file):      83648 kB
Inactive(file):   432920 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                44 kB
Writeback:             0 kB
AnonPages:        699288 kB
Mapped:           389256 kB
Shmem:              6208 kB
KReclaimable:     198432 kB
Slab:             620792 kB
SReclaimable:     198432 kB
SUnreclaim:       422360 kB
KernelStack:       32192 kB
PageTables:        32540 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279388976 kB
Committed_AS:    6736704 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      137396 kB
VmallocChunk:          0 kB
Percpu:           146944 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      601576 kB
DirectMap2M:     9320448 kB
DirectMap1G:    1181745152 kB
